"Journal","Subfield","Publisher","Publisher Type","Business Model","APC (€)"
"Neuropathology and Applied Neurobiology","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","2334"
"Neuropediatrics","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Thieme Medical Publishers","For-profit","",""
"Neuropeptides","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Molecular and Cellular Neuroscience","Elsevier","For-profit","Hybrid","1735"
"Neuropharmacology","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Molecular and Cellular Neuroscience","Elsevier","For-profit","Hybrid","2600"
"Neurophysiologie Clinique","Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","Hybrid","2329"
"Neurophysiology","Neurosciences - Neurophysiology","Springer Nature","For-profit","Hybrid",""
"Neuropsychiatric Disease and Treatment","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit","OA","2801"
"Neuropsychiatrie de l'Enfance et de l'Adolescence","Neurosciences - Developmental Neuroscience","Elsevier","For-profit associated with a society","Hybrid","2080"
"Neuropsychobiology","Neurosciences - Generalist","Karger Publishers","For-profit","Hybrid","2650"
"Neuropsychologia","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","2366"
"Neuropsychological Rehabilitation","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit","Hybrid","1570"
"Neuropsychology","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","3859"
"Neuropsychology Review","Neurosciences - Cognitive Neuroscience","Springer Nature","For-profit","Hybrid","2430"
"Neuropsychopharmacology","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Molecular and Cellular Neuroscience","Springer Nature","For-profit","Hybrid","3997"
"Neuroradiology","Neurosciences - Clinical Neuroscience","Springer Nature","For-profit associated with a society","Hybrid","2618"
"Neurorehabilitation","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit","Hybrid",""
"Neurorehabilitation and Neural Repair","Neurosciences - Molecular and Cellular Neuroscience","Sage Publishing","For-profit associated with a society","",""
"Neuroreport","Neurosciences - Generalist","Wolters Kluwer (Lippincott)","For-profit","Hybrid","2838"
"Neuroscience","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","2081"
"Neuroscience and Biobehavioral Reviews","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","3142"
"Neuroscience Bulletin","Neurosciences - Generalist","Elsevier","For-profit associated with a society","Hybrid","3078"
"Neuroscience Insights","Neurosciences - Generalist","Sage Publishing","For-profit","OA","1335"
"Neuroscience Letters","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","2302"
"Neuroscience of Consciousness","Neurosciences - Cognitive Neuroscience","Oxford University Press (OUP)","University Press","OA","1933"
"Neuroscience Research","Neurosciences - Generalist","Elsevier","For-profit associated with a society","OA","2146"
"Neuro-signals","Neurosciences - Molecular and Cellular Neuroscience","Cell Physiol Biochem Press GmbH & Co KG","For-profit","OA","1190"
"Neurosurgical Review","Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","2763"
"Neurotherapeutics","Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","OA","3762"
"Neurotoxicity Research","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Molecular and Cellular Neuroscience","Neurotoxicity Society","For-profit associated with a society","Hybrid","2640"
"Neurotoxicology","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Molecular and Cellular Neuroscience","Elsevier","For-profit associated with a society","OA","2330"
"Neurotoxicology and Teratology","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Elsevier","For-profit associated with a society","Hybrid","2853"
"New Phytologist","Ecology & Evolution - Genetics; Plants - Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","3031"
"News of the Lepidopterists Society","Ecology & Evolution - Zoology","The Lepidopterists' Society","Non-profit","OA diamond","0"
"New Zealand Journal of Ecology","Ecology & Evolution - Genetics","New Zealand Ecological Society","Non-profit","OA","183"
"New Zealand Medical Journal","Generalist - Clinical/Medicine","Pasifika Medical Association Group","Non-profit","",""
"Nordic Journal of Botany","Ecology & Evolution - Genetics; Plants - Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","1742"
"Nordic Journal of Psychiatry","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit associated with a society","Hybrid","2767"
"Nota Lepidopterologica","Ecology & Evolution - Zoology","Pensoft","For-profit associated with a society","OA","100"
"Novitates Caribaea","Ecology & Evolution - Genetics","Museo Nacional de Historia Natural de Republica Dominicana","Non-profit","OA diamond","0"
"npj Genomic Medicine","Genetics & Genomics - Medical Genetics","Springer Nature","For-profit","OA","3001"
"npj Gut and Liver","Anatomy & Physiology - Physiology","Springer Nature","For-profit","Hybrid","2390"
"NPJ Parkinson's Disease","Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","OA","2943"
"npj Precision Oncology","Cancer - Generalist","Springer Nature","For-profit","OA","2227"
"npj Systems Biology and Applications","Generalist","Springer Nature","For-profit","OA","2503"
"npj Vaccines","Immunology - Vaccinology","Springer Nature","For-profit","OA","2717"
"Nucleic Acids Research","Genetics & Genomics - Generalist","Oxford University Press (OUP)","University Press","OA","3336"
"Nutrition and Cancer","Cancer - Generalist","Taylor & Francis Group","For-profit","Hybrid","2044"
"Oikos","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2266"
"OMICS: A Journal of Integrative Biology","Generalist","Sage Publishing (Mary Ann Liebert)","For-profit","Hybrid","3118"
"Oncogene","Cancer - Genetics","Springer Nature","For-profit","OA","4174"
"Oncogenesis","Cancer - Generalist","Springer Nature","For-profit","OA","3151"
"OncoImmunology","Cancer - Immunooncology; Immunology - Immunooncology","Taylor & Francis Group","For-profit","OA","2515"
"Oncology","Cancer - Generalist","Karger Publishers","For-profit","",""
"Oncoscience","Cancer - Generalist","Rapamycin Press LLC (Impact Journals)","For-profit","Hybrid","837"
"Oncotarget","Cancer - Generalist","Impact Journals LLC","For-profit","OA","3196"
"One Health","Ecology & Evolution - Health; Generalist - Clinical/Medicine","Elsevier","For-profit associated with a society","OA","1620"
"Open Biology","Ecology & Evolution - Genetics; Generalist; Molecular & Cellular Biology - Biochemistry and Molecular Biology","The Royal Society","Non-profit","OA","1919"
"Open Mind","Neurosciences - Cognitive Neuroscience","MIT press direct","University Press","OA diamond","0"
"Open Research Europe","Ecology & Evolution - Genetics; Generalist","Faculty of 1000 Research Limited","For-profit","OA diamond","0"
"Organisms Diversity & Evolution","Ecology & Evolution - Genetics","Springer Nature","For-profit associated with a society","Hybrid","2514"
"Organogenesis","Development - Generalist","Taylor & Francis Group","For-profit","OA","2875"
"Ornis Fennica","Ecology & Evolution - Genetics","BirdLife Finland","Non-profit","OA diamond","0"
"Ornithological Applications","Ecology & Evolution - Zoology","Oxford University Press (OUP)","University Press associated with a society","Hybrid",""
"Ornithological Science","Ecology & Evolution - Zoology","The Ornithological Society of Japan","Non-profit","Subscription",""
"Ornithology","Ecology & Evolution - Zoology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","1444"
"Paleobiology","Ecology & Evolution - Evolution","Cambridge University Press (CUP)","University Press","Hybrid","2019"
"Parasite","Ecology & Evolution - Health; Immunology - Parasitology","CSPM (EDP Sciences, Édition Diffusion Presse Sciences)","For-profit associated with a society","OA","1082"
"Parasites, Hosts and Diseases","Ecology & Evolution - Health; Immunology - Parasitology","The Korean Society for Parasitology and Tropical Medicine","University Press associated with a society","OA",""
"Parasitology International","Ecology & Evolution - Health; Immunology - Parasitology","Elsevier","For-profit associated with a society","Hybrid","2903"
"Pediatric and Developmental Pathology","Development - Childhood and Adolescence","Sage Publishing","For-profit associated with a society","",""
"Pedosphere","Ecology & Evolution - Genetics","Elsevier","For-profit associated with a society","Subscription","2654"
"Peer Community In Network Science","Ecology & Evolution - Theory","Peer Community In","Non-profit","OA diamond","0"
"Peer Community Journal","Ecology & Evolution - Genetics; Generalist","Peer Community In","Non-profit","OA diamond","0"
"PeerJ Computer Science","Generalist - Computational Biology","PeerJ","For-profit","OA","1303"
"PeerJ Life & Environment","Generalist","PeerJ","For-profit","OA",""
"PeerJ Open Advances in Plant Science","Plants - Generalist","PeerJ","For-profit","",""
"People & Nature","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","OA","1968"
"Personality and Individual Differences","Ecology & Evolution - Genetics","Elsevier","For-profit associated with a society","Hybrid","2127"
"Personality Neuroscience","Neurosciences - Cognitive Neuroscience","Cambridge University Press (CUP)","University Press","OA","2844"
"Persoonia: Molecular Phylogeny and Evolution of Fungi","Ecology & Evolution - Fungi","Naturalis Biodiversity Center","Non-profit","OA diamond","0"
"Perspectives in Ecology and Conservation","Ecology & Evolution - Genetics","Elsevier","For-profit","OA diamond","0"
"Perspectives in Plant Ecology, Evolution and Systematics","Plants - Generalist","Elsevier","For-profit","Hybrid","1775"
"Perspectives on Psychological Science","Neurosciences - Cognitive Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","3087"
"Pflügers Archiv - European Journal of Physiology","Anatomy & Physiology - Physiology","Springer Nature","For-profit associated with a society","Hybrid","2478"
"Philosophical Transactions of the Royal Society B","Ecology & Evolution - Genetics","The Royal Society","Non-profit","Hybrid",""
"Philosophical Transactions of the Royal Society B: Biological Sciences","Ecology & Evolution - Genetics; Generalist","The Royal Society","Non-profit","Hybrid","2049"
"Philosophy, Theory, and Practice in Biology","Ecology & Evolution - Genetics; Generalist - History/Philosophy of Biology","University of Michigan","University Press","OA diamond","0"
"Phycologia","Ecology & Evolution - Genetics; Plants - Generalist","Taylor & Francis Group","For-profit associated with a society","Hybrid","2650"
"Physiological and Molecular Plant Pathology","Plants - Molecular and Cellular Biology","Elsevier","For-profit","Hybrid","2156"
"Physiological Genomics","Anatomy & Physiology - Physiology; Genetics & Genomics - Genomics","American Physiological Society","Non-profit","Hybrid","1548"
"Physiological Reports","Anatomy & Physiology - Physiology","John Wiley & Sons","For-profit associated with a society","OA","1438"
"Physiological Reviews","Anatomy & Physiology - Physiology","American Physiological Society","Non-profit","Hybrid","4096"
"Physiology","Anatomy & Physiology - Physiology","American Physiological Society","Non-profit","",""
"Phytobiomes Journal","Ecology & Evolution - Genetics","APS Publications","Non-profit","Hybrid","2009"
"Phytochemistry Reviews","Plants - Molecular and Cellular Biology","Springer Nature","For-profit","Hybrid","2662"
"Plant and Cell Physiology","Molecular & Cellular Biology - Plant Biology and Physiology; Plants - Physiology","Oxford University Press (OUP)","University Press","Hybrid","2719"
"Plant and Soil","Plants - Agriculture","Springer Nature","For-profit","Hybrid","2386"
"Plant Biology","Ecology & Evolution - Genetics; Plants - Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","2516"
"Plant Biosystems","Ecology & Evolution - Genetics; Plants - Generalist","Taylor & Francis Group","For-profit associated with a society","Hybrid",""
"Plant Biotechnology Journal","Plants - Molecular and Cellular Biology","John Wiley & Sons","For-profit associated with a society","OA","2805"
"Plant Cell Reports","Plants - Molecular and Cellular Biology","Springer Nature","For-profit","Hybrid","3304"
"Plant Communications","Plants - Generalist","Elsevier (Cell Press)","For-profit associated with a society","OA","1913"
"Plant Direct","Ecology & Evolution - Genetics; Plants - Generalist","John Wiley & Sons","For-profit associated with a society","OA","1929"
"Plant Diversity","Ecology & Evolution - Plants; Plants - Ecology","Elsevier","For-profit associated with a society","OA diamond","0"
"Plant Ecology and Diversity","Ecology & Evolution - Genetics; Plants - Ecology","Taylor & Francis Group","For-profit associated with a society","Hybrid","1052"
"Plant Ecology and Evolution","Ecology & Evolution - Genetics","Meise Botanic Garden / Royal Botanical Society of Belgium","Non-profit","OA diamond","0"
"Plant Gene","Genetics & Genomics - Plant Genetics; Plants - Genetics","Elsevier","For-profit","Hybrid","981"
"Plant Genetic Resources","Genetics & Genomics - Plant Genetics; Plants - Genetics","Cambridge University Press (CUP)","University Press associated with a society","",""
"Plant Growth Regulation","Plants - Development","Springer Nature","For-profit","Hybrid","2815"
"Plant Methods","Plants - Generalist","Springer Nature (BioMed Central)","For-profit","OA","2368"
"Plant Molecular Biology","Molecular & Cellular Biology - Plant Biology and Physiology; Plants - Molecular and Cellular Biology","Springer Nature","For-profit","Hybrid","3034"
"Plant Molecular Biology Reporter","Molecular & Cellular Biology - Plant Biology and Physiology; Plants - Molecular and Cellular Biology","Springer Nature","For-profit","Hybrid","3138"
"Plant Nano Biology","Plants - Molecular and Cellular Biology","Elsevier","For-profit","OA","1785"
"Plant Phenomics","Plants - Generalist","Elsevier","For-profit","OA","2401"
"Plant Physiology","Plants - Physiology","Oxford University Press (OUP)","University Press","Hybrid","3032"
"Plant Physiology and Biochemistry","Molecular & Cellular Biology - Plant Biology and Physiology; Plants - Physiology","Elsevier","For-profit associated with a society","Hybrid","2883"
"Plant Reproduction","Plants - Development","Springer Nature","For-profit","Hybrid","3331"
"Plant Science","Plants - Generalist","Elsevier","For-profit","Hybrid","2469"
"Plant Science Letters","Plants - Generalist","Elsevier","For-profit","",""
"Plant Signaling and Behavior","Plants - Physiology","Taylor & Francis Group","For-profit","OA","1941"
"Plant Sociology","Ecology & Evolution - Genetics","Pensoft","For-profit associated with a society","OA","305"
"Plants People Planet","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit","OA","2274"
"Plant Stress","Plants - Physiology","Elsevier","For-profit","OA","737"
"PLoS Biology","Ecology & Evolution - Genetics; Generalist","Public Library of Science (PLoS)","Non-profit","OA","3974"
"PLoS Computational Biology","Ecology & Evolution - Theory; Generalist - Computational Biology","Public Library of Science (PLoS)","Non-profit","OA","2432"
"PLoS Genetics","Ecology & Evolution - Genetics; Genetics & Genomics - Generalist","Public Library of Science (PLoS)","Non-profit","OA","2419"
"PLoS Neglected Tropical Diseases","Ecology & Evolution - Health; Immunology - Immunopathology","Public Library of Science (PLoS)","Non-profit","OA","2255"
"PLoS ONE","Ecology & Evolution - Genetics; Generalist","Public Library of Science (PLoS)","Non-profit","OA","1747"
"PLoS Pathogens","Ecology & Evolution - Health; Immunology - Immunopathology","Public Library of Science (PLoS)","Non-profit","OA","2466"
"Polish Journal of Ecology","Ecology & Evolution - Genetics","BioOne","Non-profit","Subscription",""
"Population Ecology","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2500"
"Prescrire","Generalist - Clinical/Medicine","Association mieux prescrire","Non-profit","",""
"Prescrire International","Generalist - Clinical/Medicine","Association mieux prescrire","Non-profit","",""
"Primate Conservation","Ecology & Evolution - Genetics","Conservation International","Non-profit","OA diamond","0"
"Proceedings of the National Academy of Sciences of the USA (PNAS)","Ecology & Evolution - Genetics; Generalist","USA National Academy of Sciences","Non-profit","Hybrid","2533"
"Proceedings of the National Academy of Sciences of the USA (PNAS) Nexus","Ecology & Evolution - Genetics; Generalist","Oxford University Press (OUP)","University Press associated with a society","OA","3613"
"Proceedings of the Royal Society A - Mathematical Physical and Engineering Sciences","Ecology & Evolution - Theory","Oxford University Press (OUP)","University Press associated with a society","Hybrid","2053"
"Progress in Biophysics and Molecular Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","3107"
"Progress in Brain Research","Neurosciences - Generalist","Elsevier","For-profit","Hybrid",""
"Progress in Neurobiology","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","3454"
"Proteins: Structure, Function, and Bioinformatics","Molecular & Cellular Biology - Structural Biology and Biophysics","John Wiley & Sons","For-profit","Hybrid","2580"
"Psychiatric Genetics","Genetics & Genomics - Medical Genetics; Neurosciences - Clinical Neuroscience","Wolters Kluwer Medknow Publications","For-profit","Hybrid","2092"
"Psychiatry Research","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","Hybrid","2631"
"Psychiatry Research: Neuroimaging","Neurosciences - Methods","Elsevier","For-profit associated with a society","Hybrid","2272"
"Psychological Bulletin","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","3777"
"Psychological Medicine","Neurosciences - Clinical Neuroscience","Cambridge University Press (CUP)","University Press","Hybrid","2732"
"Psychological Methods","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","3324"
"Psychological Review","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","2887"
"Psychological Science","Neurosciences - Cognitive Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","627"
"Psychology and Aging","Neurosciences - Developmental Neuroscience","American Psychological Association (APA)","Non-profit","Hybrid","3098"
"Psychology and Neuroscience","Neurosciences - Cognitive Neuroscience","American Psychological Association (APA)","Non-profit","OA diamond","0"
"Psychology of Addictive Behaviors","Neurosciences - Addiction","American Psychological Association (APA)","Non-profit","Hybrid","3510"
"Psychophysiology","Neurosciences - Neurophysiology","John Wiley & Sons","For-profit associated with a society","Hybrid","2564"
"Quantitative Plant Biology","Plants - Generalist","Cambridge University Press (CUP)","University Press","OA","2593"
"Quantitative Science Studies","Generalist","MIT press","University Press associated with a society","OA","1013"
"Raffles Bulletin of Zoology","Ecology & Evolution - Zoology","Lee Kong Chian Natural History Museum","Non-profit","OA diamond","0"
"Rapid Reviews\Infectious Diseases","Immunology - Immunopathology","MIT press direct","University Press","",""
"Records of the Australian Museum","Ecology & Evolution - Genetics","Australian Museum","Non-profit","OA diamond","0"
"Regenerative Medicine","Molecular & Cellular Biology - Clinical and Medical Sciences","Taylor & Francis Group","For-profit","Hybrid","2268"
"Regenerative Therapy","Molecular & Cellular Biology - Clinical and Medical Sciences","Elsevier","For-profit associated with a society","OA","154"
"Remote Sensing in Ecology and Conservation","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","OA","2157"
"Reproduction","Development - Reproduction","Bioscientifica / Society for Endocrinology","Non-profit","Hybrid","2458"
"Reproduction, Fertility and Development","Development - Reproduction","CSIRO Publishing","Non-profit","Hybrid","2336"
"Reproductive Biology","Development - Reproduction","Elsevier","For-profit","Hybrid","2351"
"Reproductive Biology and Endocrinology","Development - Reproduction","Springer Nature","For-profit","OA","2738"
"ReScience C","Generalist","GitHub","Non-profit","OA",""
"Research in Autism","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","",""
"Research in Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","Elsevier","For-profit associated with a society","Hybrid","1229"
"Respiratory Physiology and Neurobiology","Neurosciences - Neurophysiology","Elsevier","For-profit","Hybrid","2427"
"Restoration Ecology","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","3007"
"Retrovirology","Immunology - Virology","Springer Nature (BioMed Central)","For-profit","OA","2431"
"Reviews in Medical Virology","Immunology - Virology","John Wiley & Sons","For-profit","Hybrid","3195"
"Reviews in the Neurosciences","Neurosciences - Generalist","De Gruyter Brill","For-profit","Hybrid","2832"
"Revista de Biologia Tropical","Ecology & Evolution - Genetics","Editorial de la Universidad de Costa Rica","University Press","OA","997"
"Revista de la Sociedad Entomologica Argentina","Ecology & Evolution - Zoology","Sociedad Entomologica Argentina","Non-profit","OA diamond","0"
"Revue de Primatologie","Ecology & Evolution - Zoology","OpenEdition","Non-profit","OA diamond","0"
"Revue Suisse de Zoologie","Ecology & Evolution - Zoology","BioOne","Non-profit","OA",""
"Rice","Plants - Agriculture","Springer Nature","For-profit","OA","2256"
"Ringing and Migration","Ecology & Evolution - Zoology","Taylor & Francis Group","For-profit associated with a society","Subscription",""
"RNA Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Taylor & Francis Group","For-profit","OA","3029"
"Royal Society Biology Letters","Ecology & Evolution - Genetics; Generalist","The Royal Society Publishing","University Press","Hybrid","1964"
"Royal Society Open Science","Ecology & Evolution - Genetics; Generalist","The Royal Society","Non-profit","OA","1477"
"Sage Open Pathology","Immunology - Immunopathology","Sage Publishing","For-profit","",""
"Salamandra","Ecology & Evolution - Zoology","German Society for Herpetology and Herpetoculture","Non-profit","Subscription",""
"Scandinavian Journal of Statistics","Ecology & Evolution - Theory; Generalist - Statistics","John Wiley & Sons","For-profit associated with a society","Hybrid","1831"
"Schizophrenia","Neurosciences - Clinical Neuroscience","Springer Nature","For-profit associated with a society","OA","3147"
"Schizophrenia Bulletin","Neurosciences - Clinical Neuroscience","Oxford University Press (OUP)","University Press","Hybrid","2920"
"Science","Ecology & Evolution - Genetics; Generalist","American Association for the Advancement of Science (AAAS)","Non-profit","Subscription","2131"
"Science Advances","Ecology & Evolution - Genetics; Generalist","American Association for the Advancement of Science (AAAS)","Non-profit","OA","3823"
"Science Immunology","Immunology - Generalist/Classical Immunology","American Association for the Advancement of Science (AAAS)","Non-profit","Hybrid","1690"
"Science Signaling","Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Association for the Advancement of Science (AAAS)","Non-profit","Hybrid","2471"
"Science Translational Medicine","Generalist - Clinical/Medicine","American Association for the Advancement of Science (AAAS)","Non-profit","Hybrid","1538"
"Scientia Marina","Ecology & Evolution - Genetics","CSIC","Non-profit","OA diamond","0"
"Scientific Reports","Generalist","Springer Nature","For-profit","OA","2112"
"Seminars in Cancer Biology","Cancer - Generalist","Elsevier","For-profit","Hybrid","3076"
"Seminars in Cell and Developmental Biology","Development - Molecular and Cellular development; Molecular & Cellular Biology - Cell Biology and Developmental Biology","Elsevier","For-profit","Hybrid","2543"
"Seminars in Immunology","Immunology - Generalist/Classical Immunology","Elsevier","For-profit","Hybrid","2763"
"Seminars in Neurology","Neurosciences - Clinical Neuroscience","Thieme Medical Publishers","For-profit","Hybrid","1524"
"Seminars in Oncology","Cancer - Generalist","W.B. Saunders","For-profit","Hybrid","2891"
"Sexual Development","Development - Childhood and Adolescence","Karger Publishers","For-profit","",""
"Sexually Transmitted Diseases","Immunology - Virology","Wolters Kluwer","For-profit associated with a society","Hybrid","2883"
"SIAM Journal on Applied Mathematics","Ecology & Evolution - Theory; Generalist - Mathematical Biology","Society for Industrial and Applied Mathematics","Non-profit","Hybrid","3080"
"SIAM Journal on Discrete Mathematics","Ecology & Evolution - Theory; Generalist - Mathematical Biology","Society for Industrial and Applied Mathematics","Non-profit","Hybrid","2259"
"Silva Balcanica","Ecology & Evolution - Genetics","Pensoft","For-profit associated with a society","OA diamond","0"
"Sleep","Neurosciences - Generalist","Oxford University Press (OUP)","University Press associated with a society","Hybrid","3069"
"Sleep and Biological Rhythms","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","2750"
"Sleep and Breathing","Neurosciences - Generalist","Elsevier","For-profit","Hybrid","1996"
"Sleep Medicine","Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","Hybrid","2738"
"Sleep Medicine Reviews","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","Hybrid","2838"
"Small GTPases","Molecular & Cellular Biology - Miscellaneous / Interdisciplinary","Landes Bioscience","For-profit","Hybrid","796"
"Social Cognitive and Affective Neuroscience","Neurosciences - Cognitive Neuroscience","Oxford University Press (OUP)","University Press","OA","1920"
"Social Neuroscience","Neurosciences - Social Neuroscience","Taylor & Francis Group","For-profit","Hybrid","2223"
"Social Psychiatry and Psychiatric Epidemiology","Immunology - Epidemiology; Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","3491"
"Sociobiology","Ecology & Evolution - Genetics","Universidade Estadual de Feira de Santana","Non-profit","OA diamond","0"
"Somatosensory and Motor Research","Neurosciences - Sensory Neuroscience","Taylor & Francis Group","For-profit","",""
"South African Journal of Botany","Ecology & Evolution - Genetics; Plants - Generalist","Elsevier","For-profit associated with a society","Hybrid","2477"
"Stem Cell Reports","Molecular & Cellular Biology - Stem Cell Research","Elsevier (Cell Press)","For-profit associated with a society","OA","3402"
"Stem Cell Research","Development - Molecular and Cellular development; Molecular & Cellular Biology - Stem Cell Research","Elsevier","For-profit","OA","795"
"Stem Cell Research and Therapy","Molecular & Cellular Biology - Stem Cell Research","Springer Nature (BioMed Central)","For-profit","OA","2412"
"Stem Cell Reviews and Reports","Development - Molecular and Cellular development; Molecular & Cellular Biology - Stem Cell Research","Springer Nature","For-profit","Hybrid","2383"
"Stem Cells","Molecular & Cellular Biology - Stem Cell Research","Oxford University Press (OUP)","University Press","Hybrid","1982"
"Stem Cells and Development","Development - Molecular and Cellular development; Molecular & Cellular Biology - Stem Cell Research","Sage Publishing","For-profit associated with a society","Hybrid","3350"
"Stem Cells Translational Medicine","Molecular & Cellular Biology - Stem Cell Research","Oxford University Press (OUP)","University Press","OA","2146"
"Stress","Neurosciences - Neurophysiology","Taylor & Francis Group","For-profit","OA","2765"
"Stress and Health","Neurosciences - Neurophysiology","John Wiley & Sons","For-profit","Hybrid","2890"
"Stroke","Neurosciences - Clinical Neuroscience","American Heart Association","Non-profit","Hybrid","3449"
"Stroke and Vascular Neurology","Neurosciences - Clinical Neuroscience","BMJ Group","Non-profit","OA","1858"
"Synthese","Generalist - History/Philosophy of Biology","Springer Nature","For-profit","Hybrid","2214"
"Systematic and Applied Acarology","Ecology & Evolution - Zoology","Systematic and Applied Acarology Society","Non-profit","Hybrid","509"
"Systematic Biology","Ecology & Evolution - Genetics; Genetics & Genomics - Generalist","Oxford University Press (OUP)","University Press associated with a society","Hybrid","1497"
"Systematic Botany","Ecology & Evolution - Genetics; Plants - Generalist","BioOne","Non-profit","Hybrid","534"
"Systematic Entomology","Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Hybrid","2646"
"Taxon","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","1500"
"The AAPS Journal","Immunology - Veterinary Immunology","Springer Nature","For-profit associated with a society","Hybrid","3138"
"The American Journal of Bioethics","Generalist - Bioethics","Taylor & Francis Group","For-profit","Hybrid","2661"
"The American Journal of Chinese Medicine","Generalist - Clinical/Medicine","World Scientific Publishing","For-profit","",""
"The American Journal of Drug Alcohol Abuse","Neurosciences - Addiction","Taylor & Francis Group","For-profit","",""
"The American Journal of Geriatric Psychiatry","Anatomy & Physiology - Aging; Development - Aging; Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","Hybrid","3194"
"The American Journal of Medical Sciences","Generalist - Clinical/Medicine","Elsevier","For-profit associated with a society","",""
"The American Journal of Medicine","Generalist - Clinical/Medicine","Elsevier","For-profit associated with a society","Hybrid","2624"
"The American Journal of Pathology","Immunology - Immunopathology","Elsevier","For-profit associated with a society","Hybrid","2756"
"The American Journal of Sports Medicine","Anatomy & Physiology - Sport Science","Sage Publishing","For-profit associated with a society","",""
"The American Journal of Tropical Medicine and Hygiene","Immunology - Immunopathology","American Society of Tropical Medicine and Hygiene","Non-profit","Hybrid","2606"
"The American Journal on Addictions","Neurosciences - Addiction","John Wiley & Sons","For-profit associated with a society","Hybrid","2676"
"The Anatomical Record","Anatomy & Physiology - Anatomy; Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Hybrid","2118"
"The Annals of Applied Statistics","Generalist - Statistics","Institute of Mathematical Statistics","Non-profit","Hybrid","937"
"The Annals of Clinical Psychiatry","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","",""
"The Annals of Statistics","Generalist - Statistics","Institute of Mathematical Statistics","Non-profit","Hybrid","874"
"The BMJ","Generalist - Clinical/Medicine","BMJ Group","Non-profit","OA","4147"
"The Botanical Review","Ecology & Evolution - Genetics; Plants - Generalist","Springer Nature","For-profit associated with a society","Hybrid","2624"
"The Brazilian Journal of Infectious Diseases","Immunology - Immunopathology","Elsevier","For-profit associated with a society","OA","998"
"The Breast","Cancer - Breast Cancer","Elsevier","For-profit associated with a society","OA","1848"
"The Breast Journal","Cancer - Breast Cancer","John Wiley & Sons","For-profit","OA","1953"
